epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,880.834,1.11252,1.94284,0.00888,0.73448,0.65671,0.73031,0.5325,0.88243,0.81371,0.0077,0.00999077,0.00333026,0.00999077,0.00333026,0.00999077,0.00333026,0.00999077,0.00333026
2,1754.45,0.87507,0.7551,0.00473,0.76699,0.71323,0.79206,0.5853,0.86825,0.71743,0.00649,0.0193311,0.00644369,0.0193311,0.00644369,0.0193311,0.00644369,0.0193311,0.00644369
3,2628.24,0.88848,0.68151,0.00449,0.7433,0.62604,0.72478,0.51395,0.93119,0.87056,0.00654,0.0280114,0.00933713,0.0280114,0.00933713,0.0280114,0.00933713,0.0280114,0.00933713
4,3502.7,0.79002,0.62172,0.00388,0.81768,0.75343,0.83775,0.64089,0.77842,0.58957,0.00481,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,4376.14,0.70019,0.5419,0.00323,0.85788,0.78667,0.87428,0.69886,0.70036,0.52808,0.00407,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,5250.21,0.6385,0.50519,0.00294,0.87758,0.8192,0.89791,0.72006,0.70989,0.49008,0.00352,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,6123.63,0.60956,0.47918,0.0028,0.89524,0.83745,0.91367,0.75012,0.65994,0.44705,0.0032,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,6997.4,0.57525,0.45857,0.00261,0.89833,0.85004,0.92228,0.77524,0.57826,0.40324,0.00289,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,7871.13,0.55543,0.44819,0.00255,0.90218,0.8573,0.92457,0.78621,0.54173,0.39046,0.00275,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,8744.76,0.53711,0.43742,0.00242,0.9088,0.85645,0.92918,0.78567,0.57193,0.38826,0.00268,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,9601.59,0.56165,0.41118,0.00371,0.90401,0.86126,0.93089,0.78375,0.58198,0.3909,0.00258,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
