epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,344.724,1.31143,3.86041,0.01095,0.61674,0.40181,0.40905,0.27786,1.02709,1.47268,0.00957,0.00998155,0.00332718,0.00998155,0.00332718,0.00998155,0.00332718,0.00998155,0.00332718
2,683.789,1.03005,1.69783,0.00652,0.61477,0.59225,0.62314,0.42882,0.973,0.99198,0.0082,0.0193222,0.00644072,0.0193222,0.00644072,0.0193222,0.00644072,0.0193222,0.00644072
3,1023.7,1.04894,0.97435,0.00597,0.63112,0.59187,0.64169,0.44349,1.02536,0.92538,0.00761,0.0280028,0.00933426,0.0280028,0.00933426,0.0280028,0.00933426,0.0280028,0.00933426
4,1362,0.97036,0.78338,0.00511,0.78266,0.73632,0.80653,0.60759,0.79403,0.65084,0.0055,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,1701.06,0.8755,0.67001,0.00437,0.80342,0.74639,0.82405,0.61455,0.83713,0.59877,0.00561,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,2040.38,0.82085,0.62705,0.00402,0.80328,0.73836,0.81725,0.6043,0.8866,0.62473,0.00571,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,2380.67,0.78916,0.5953,0.00377,0.8299,0.7721,0.85334,0.68179,0.68545,0.53359,0.00437,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,2720.73,0.75884,0.58068,0.00357,0.85568,0.77703,0.86648,0.68825,0.71533,0.52644,0.0041,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,3060.4,0.7233,0.55606,0.00343,0.85835,0.7952,0.87525,0.69632,0.70014,0.50093,0.00401,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,3401.5,0.70562,0.54241,0.00331,0.86141,0.80865,0.88665,0.70087,0.73648,0.49282,0.00401,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,3725.21,0.72283,0.50582,0.00503,0.85425,0.80746,0.88362,0.69497,0.73998,0.49289,0.00398,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,4042.77,0.68713,0.47776,0.00456,0.85809,0.78633,0.87638,0.69593,0.72983,0.50776,0.00381,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,4360.24,0.66541,0.46702,0.00433,0.88594,0.82652,0.90109,0.71935,0.71826,0.4639,0.00339,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,4677.63,0.64949,0.4548,0.00416,0.87049,0.8288,0.89914,0.72802,0.69901,0.46172,0.00326,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,4995.66,0.62569,0.4489,0.00398,0.87046,0.83719,0.90666,0.73617,0.6714,0.4457,0.00312,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,5313.59,0.6063,0.43063,0.0038,0.88303,0.84124,0.9124,0.73972,0.7007,0.43919,0.00303,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,5632.63,0.58278,0.41601,0.00361,0.89072,0.83399,0.91243,0.73455,0.70849,0.44615,0.00296,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,5951.4,0.56594,0.40931,0.00348,0.89553,0.83592,0.91337,0.74748,0.67284,0.4321,0.00285,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,6269.39,0.54787,0.40105,0.00338,0.90043,0.83776,0.91483,0.75082,0.66379,0.42609,0.00281,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,6587.98,0.52775,0.38597,0.0032,0.90826,0.83628,0.91763,0.75227,0.66463,0.42668,0.00278,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,6906.23,0.50977,0.38151,0.00311,0.89835,0.84566,0.9183,0.75168,0.66291,0.42497,0.00272,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,7224.8,0.48576,0.36803,0.00297,0.89212,0.84845,0.91898,0.75463,0.65881,0.41899,0.00267,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,7542.82,0.47054,0.36026,0.00285,0.90031,0.84803,0.92068,0.76135,0.64106,0.41462,0.0026,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,7861.91,0.45147,0.34742,0.00276,0.90108,0.84859,0.9216,0.76016,0.65121,0.41786,0.00259,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,8179.89,0.43528,0.33886,0.00261,0.90317,0.8438,0.92158,0.75516,0.66531,0.42342,0.0026,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,8498.22,0.41669,0.32681,0.00248,0.89554,0.84682,0.92038,0.75361,0.66929,0.42905,0.00259,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,8816.17,0.40094,0.32369,0.00236,0.89926,0.84347,0.91989,0.75419,0.66778,0.42982,0.00257,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,9134.43,0.39051,0.31221,0.00226,0.89929,0.84527,0.92043,0.75598,0.6663,0.43035,0.00255,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
