epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,503.744,1.3114,2.5617,0.01083,0.67868,0.5428,0.59393,0.40324,1.06834,0.99763,0.01037,0.00998155,0.00332718,0.00998155,0.00332718,0.00998155,0.00332718,0.00998155,0.00332718
2,1024.36,0.96112,0.89724,0.00567,0.72592,0.65733,0.73181,0.51453,1.00995,0.79432,0.00713,0.0193222,0.00644072,0.0193222,0.00644072,0.0193222,0.00644072,0.0193222,0.00644072
3,1520.41,0.98721,0.76829,0.00524,0.76448,0.68474,0.77048,0.56146,0.91102,0.74486,0.00725,0.0280028,0.00933426,0.0280028,0.00933426,0.0280028,0.00933426,0.0280028,0.00933426
4,2014.81,0.89594,0.67988,0.00447,0.80368,0.70391,0.81374,0.59366,0.9358,0.7362,0.00594,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,2509.72,0.78963,0.58387,0.00375,0.81286,0.74629,0.83238,0.64771,0.7697,0.59034,0.00504,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,3004.99,0.73561,0.54399,0.00341,0.82476,0.7677,0.85119,0.67133,0.7335,0.58024,0.00477,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,3520.99,0.69921,0.51716,0.0032,0.85022,0.78057,0.86982,0.68495,0.71411,0.55046,0.00416,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,4017.37,0.66633,0.50126,0.00298,0.84552,0.78461,0.88133,0.70246,0.71084,0.51611,0.00378,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,4512.67,0.64338,0.47898,0.00291,0.84169,0.78592,0.87584,0.69833,0.74076,0.53774,0.00365,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,5007.81,0.62339,0.46634,0.00278,0.86946,0.81979,0.89819,0.72712,0.68247,0.463,0.00339,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,5489,0.64863,0.43623,0.00425,0.8808,0.82458,0.9063,0.73071,0.69833,0.45203,0.00328,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,5964.05,0.61463,0.41153,0.00383,0.89054,0.83318,0.91389,0.75194,0.66931,0.43358,0.00306,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,6438.44,0.59694,0.40402,0.00364,0.88619,0.84408,0.91702,0.73948,0.68712,0.43035,0.00292,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,6912.51,0.57537,0.38887,0.00342,0.88849,0.84518,0.92008,0.74607,0.68638,0.43309,0.00279,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,7386.72,0.55321,0.37891,0.00328,0.8931,0.85754,0.92369,0.77546,0.61017,0.39746,0.00257,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,7860.76,0.53213,0.36668,0.00312,0.90186,0.85764,0.92799,0.76928,0.65811,0.41042,0.00258,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,8374.3,0.51264,0.35382,0.00297,0.90386,0.85494,0.92573,0.76012,0.66134,0.41437,0.00258,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,8847.5,0.49307,0.34388,0.00285,0.90205,0.85426,0.92756,0.77464,0.64714,0.40802,0.0025,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,9320.85,0.47374,0.33373,0.00272,0.89929,0.85964,0.92868,0.77438,0.64296,0.40929,0.00245,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,9794.91,0.45555,0.32352,0.00263,0.90813,0.85175,0.92942,0.77792,0.63635,0.40594,0.00244,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,10268.6,0.43756,0.31607,0.00251,0.91391,0.85382,0.93154,0.77438,0.65015,0.40996,0.00241,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,10742.4,0.41859,0.30176,0.00241,0.90729,0.86281,0.93136,0.77744,0.64261,0.41212,0.00237,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,11215.8,0.4017,0.29006,0.00228,0.90994,0.8658,0.93259,0.78161,0.63688,0.41202,0.00235,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,11688.9,0.37912,0.2762,0.00216,0.91061,0.86164,0.93287,0.78148,0.63656,0.41619,0.00233,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,12162.2,0.36292,0.2718,0.00203,0.90472,0.86318,0.93316,0.78324,0.62994,0.41699,0.00231,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,12636,0.34558,0.25817,0.00193,0.90387,0.86369,0.933,0.78558,0.6271,0.41673,0.00229,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,13109.8,0.33059,0.24712,0.00181,0.90547,0.86352,0.9342,0.78644,0.62706,0.42157,0.00227,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,13583.2,0.3173,0.23649,0.00169,0.89985,0.86936,0.93355,0.78623,0.62614,0.42418,0.00226,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,14056.8,0.3036,0.22608,0.00164,0.90069,0.87091,0.93353,0.78599,0.62538,0.42652,0.00225,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,14530.4,0.29511,0.22135,0.00157,0.90311,0.86989,0.93333,0.78604,0.62484,0.4283,0.00225,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
